,Song,Artist,Year,Genre
896,rain,hypnotic,2017,pop
897,truthful,hypnotic,1993,pop
898,responsible,hypnotic,2000,pop
899,receptive,hypnotic,2002,pop
900,volcano,hypnotic,1997,pop
901,fine,hypnotic,1980,pop
902,deceive,hypnotic,2018,pop
903,blue,hypnotic,2022,pop
904,marry,hypnotic,2017,pop
905,bottle,energetic,2002,folk
906,crown,energetic,2015,folk
907,gun,energetic,2002,folk
908,momentous,energetic,2013,folk
909,stocking,energetic,2013,folk
910,barbarous,energetic,2009,folk
911,bury,energetic,2012,folk
912,breezy,energetic,2001,folk
913,squeal,polite,2001,pop
914,accidental,polite,2023,pop
915,valuable,polite,1995,pop
916,steady,polite,1972,pop
917,whine,polite,2013,pop
918,whistle,receive,2019,pop
919,land,receive,1991,pop
920,lumpy,receive,2009,pop
921,nondescript,receive,1974,pop
922,frogs,receive,2001,pop
923,delight,dolls,2013,pop
924,embarrass,dolls,2020,pop
925,befitting,icy,2001,pop
926,jealous,icy,1997,pop
927,invincible,icy,2011,pop
928,group,icy,2014,pop
929,frame,icy,2007,pop
930,skinny,exercise,1996,pop
931,animal,exercise,2016,pop
932,story,exercise,2000,pop
933,foolish,exercise,1994,pop
934,finicky,exercise,2010,pop
935,reading,exercise,2019,pop
936,beef,exercise,2023,pop
937,robin,exercise,2018,pop
938,cheerful,exercise,1987,pop
939,clear,exercise,2014,pop
940,selective,exercise,2019,pop
941,sparkling,exercise,2019,pop
942,lamentable,exercise,2021,pop
943,system,exercise,2021,pop
944,smooth,exercise,2003,pop
945,black,exercise,2014,pop
946,escape,exercise,2012,pop
947,anxious,exercise,1975,pop
948,mist,exercise,2006,pop
949,hypnotic,exercise,2022,pop
950,aloof,exercise,2015,pop
951,five,exercise,2001,pop
952,skin,exercise,2010,pop
953,medical,exercise,1994,pop
954,natural,exercise,2013,pop
955,island,exercise,2016,pop
956,holiday,exercise,2019,pop
957,haircut,exercise,2014,pop
958,bag,summer,2002,rock
959,hair,summer,2004,rock
960,bike,store,2016,pop
961,crowded,vigorous,2020,rock
962,greasy,vigorous,2018,rock
963,smile,vigorous,2008,rock
964,piquant,vigorous,2017,rock
965,weight,vigorous,2002,rock
966,stew,vigorous,2009,rock
967,pop,vigorous,2020,rock
968,enchanted,vigorous,2017,rock
969,swing,vigorous,1995,rock
970,sock,vigorous,2004,rock
971,pastoral,vigorous,2020,rock
972,grass,tramp,2005,hip hop
973,frail,tramp,2015,hip hop
974,colour,squeamish,2022,hip hop
975,equal,squeamish,2021,hip hop
976,chubby,squeamish,2008,hip hop
977,seat,squeamish,2016,hip hop
978,understood,squeamish,2002,hip hop
979,testy,practice,2005,rock
980,late,trite,2015,rock
981,suggestion,rich,2008,pop
982,half,enchanted,2021,pop
983,reduce,enchanted,2017,pop
984,interesting,enchanted,2017,pop
985,sweet,enchanted,2007,pop
986,rinse,enchanted,2010,pop
987,measly,alike,1974,rock
988,nut,flag,2014,pop
989,spill,flag,1995,pop
990,guarded,dust,2010,hip hop
991,miscreant,dust,1998,hip hop
992,peep,large,2022,pop
993,boy,large,1988,pop
994,cheerful,skip,2009,hip hop
995,peace,troubled,2001,hip hop
996,dynamic,frequent,2001,folk
997,oatmeal,frequent,2013,folk
998,mountain,frequent,2004,folk
999,wail,frequent,2020,folk
1000,bored,frequent,2001,folk
1001,advice,frequent,2015,folk
1002,detailed,frequent,2022,folk
1003,treatment,frequent,2010,folk
1004,soft,hammer,2011,pop
1005,energetic,hammer,2015,pop
1006,burly,hammer,2001,pop
1007,zesty,hammer,2016,pop
1008,glass,hammer,1991,pop
1009,medical,hammer,2020,pop
1010,beef,hammer,2003,pop
1011,direful,hammer,2006,pop
1012,omniscient,switch,2011,pop
1013,quarter,instrument,2006,hip hop
1014,color,mushy,2021,pop
1015,reward,abiding,2018,hip hop
1016,history,abiding,2009,hip hop
1017,silky,abiding,2007,hip hop
1018,zinc,abiding,2018,hip hop
1019,limit,abiding,2012,hip hop
1020,handle,unequal,1996,rock
