,Song,Artist,Year,Genre,Length,Count,C_month,C_week,Decade
417,birthday,kneel,1970,pop,2.046160167534468,25,8,8,70s
418,imaginary,kneel,2013,pop,1.8705645567595008,13,3,1,10s
419,sky,power,2003,pop,2.423844314822971,10,0,0,00s
420,pipe,imperfect,2022,pop,2.621395957890768,21,21,21,20s
421,reflect,imperfect,1990,pop,2.724145171479713,67,67,67,90s
422,ready,imperfect,1972,pop,2.0336939307715065,7,3,0,70s
423,picayune,imperfect,2019,pop,1.8951566622599645,16,16,5,10s
424,charge,imperfect,2003,pop,2.6620112664100235,45,45,22,00s
425,false,imperfect,2015,pop,2.5556516419805537,63,63,31,10s
426,rest,imperfect,2010,pop,2.472548088444523,3,3,1,10s
427,interest,imperfect,2008,pop,2.721423937451611,26,13,0,00s
428,bizarre,jazzy,2008,pop,1.906242971924982,10,0,0,00s
429,picture,jazzy,2003,pop,2.272138759380802,30,7,7,00s
430,night,jazzy,2009,pop,2.4373664222368543,40,2,1,00s
431,complex,jazzy,2011,pop,2.271532740334859,29,14,0,10s
432,smiling,jazzy,2012,pop,2.105957187664586,1,0,0,10s
433,remind,jazzy,2012,pop,2.828303104716377,5,2,2,10s
434,rice,jazzy,2017,pop,2.688796912412237,20,20,6,10s
435,discover,jazzy,2014,pop,2.3771719179057245,43,10,3,10s
436,event,jazzy,2010,pop,2.6911204181440445,17,1,0,10s
437,sharp,jazzy,2011,pop,1.988380614379175,68,13,1,10s
438,small,jazzy,2012,pop,2.053559221604748,27,6,2,10s
439,modern,jazzy,2020,pop,2.7970379352558536,6,3,0,20s
440,efficacious,jazzy,2002,pop,2.20078565740632,41,13,6,00s
441,voracious,jazzy,2020,pop,3.9634993151520903,18,1,0,20s
442,smart,jazzy,2005,pop,3.8733905165472593,19,6,3,00s
443,tasteful,jazzy,2007,pop,3.611859653584952,14,14,7,00s
444,whip,jazzy,2006,pop,3.9271163832140537,13,1,0,00s
445,unlock,jazzy,2023,pop,3.287062665129254,34,34,0,20s
446,futuristic,flower,2006,pop,2.868465066032412,27,4,4,00s
447,sea,flower,2017,pop,3.510312635159506,17,1,1,10s
448,sign,flower,2004,pop,2.948357975116964,28,7,2,00s
449,one,cushion,2013,rock,3.997595494563563,55,11,11,10s
450,tax,cushion,2011,rock,3.3140550465814465,111,111,55,10s
451,cheese,cushion,2013,rock,3.143440178492471,8,1,1,10s
452,ubiquitous,cushion,2014,rock,3.896014837293296,57,28,14,10s
453,past,cushion,2000,rock,2.9713599870945906,150,150,75,00s
454,dreary,longing,2020,pop,2.885807513528702,19,1,0,20s
455,fear,placid,2005,pop,3.9370047634414447,13,4,1,00s
456,week,placid,2012,pop,3.6578989475508488,33,4,0,10s
457,itch,fowl,2000,pop,3.954829539043604,9,4,2,00s
458,own,float,2011,rock,3.55867837018816,66,13,2,10s
459,stain,hanging,1993,folk,3.768500630130125,29,29,29,90s
460,damage,hanging,1984,folk,3.730716264005648,15,15,5,80s
461,beg,subsequent,1986,rock,3.309312187563429,95,47,0,80s
462,taste,jam,2002,pop,3.542274090672818,35,7,7,00s
463,sincere,square,1994,pop,3.198537297075427,32,32,16,90s
464,rude,square,1978,pop,3.897969663198487,10,10,10,70s
465,nappy,square,2012,pop,3.5566718070280765,163,10,3,10s
466,vast,feeble,2002,blues,3.574629810405447,71,10,2,00s
467,oval,feeble,2000,blues,3.927246180186119,36,2,2,00s
468,settle,feeble,2015,blues,3.992734657860152,5,5,2,10s
469,airport,feeble,2004,blues,3.635328021496335,30,10,5,00s
470,dime,feeble,1989,blues,2.940439510086659,65,10,2,80s
471,crow,feeble,2018,blues,3.730823094535868,20,20,10,10s
472,string,feeble,2011,blues,3.9469586234230976,26,8,1,10s
473,stroke,feeble,2001,blues,3.575758249560646,22,7,0,00s
474,toothsome,feeble,2012,blues,3.5913034238774,12,12,12,10s
475,mountain,feeble,1990,blues,3.83545934454946,20,10,5,90s
476,rare,feeble,2018,blues,3.235127822237581,7,7,7,10s
477,instrument,feeble,1989,blues,3.477698365488986,3,3,1,80s
478,circle,feeble,2010,blues,3.0044424593876395,3,0,0,10s
479,rain,feeble,2019,blues,3.667792030232759,21,3,1,10s
480,curvy,feeble,1998,blues,3.844149742596949,29,14,7,90s
481,horses,feeble,2013,blues,2.919446934595781,15,1,0,10s
482,retire,feeble,1997,blues,3.131969959818651,9,4,1,90s
483,automatic,feeble,2007,blues,3.9995053322493512,33,33,33,00s
484,detect,chief,1993,pop,2.98845957723101,2,0,0,90s
485,story,chief,2015,pop,3.467843484850439,12,12,6,10s
486,carve,chief,1974,pop,2.9971817834183567,9,1,1,70s
487,look,chief,1984,pop,2.982657230498877,18,18,3,80s
488,huge,chief,2005,pop,3.5029950837500485,12,0,0,00s
489,pastoral,floor,2020,rock,3.0712310609414697,3,0,0,20s
490,needle,floor,2020,rock,3.913259933236728,65,65,32,20s
491,meeting,floor,2014,rock,3.1784173542755867,12,4,2,10s
492,condemned,floor,1984,rock,3.83465858161867,9,9,1,80s
493,thread,floor,2000,rock,3.509134853623474,61,5,2,00s
494,develop,floor,2019,rock,2.9570169642106103,38,38,38,10s
495,cattle,floor,2007,rock,3.731044975771585,21,10,0,00s
496,report,floor,1996,rock,3.393608585961349,15,7,0,90s
497,chemical,floor,1971,rock,2.962394891620717,14,1,1,70s
498,meeting,floor,2011,rock,2.9570387229283703,7,0,0,10s
499,five,floor,2013,rock,2.975081152896665,30,2,1,10s
500,increase,floor,2001,rock,3.4628117582695075,10,1,1,00s
501,advice,floor,2007,rock,2.9568314001803864,60,20,0,00s
502,descriptive,floor,2013,rock,3.6379596562598233,124,6,1,10s
503,humdrum,floor,2011,rock,3.674018188010485,32,16,5,10s
504,elfin,floor,1999,rock,3.889579950459828,30,15,5,90s
505,person,floor,1981,rock,3.123233212940084,11,11,5,80s
506,far-flung,floor,1984,rock,2.976110929266913,2,0,0,80s
507,sable,wild,2004,pop,3.325193641097972,29,14,14,00s
508,pick,wild,2023,pop,3.303144262973172,88,44,22,20s
509,adaptable,wild,2000,pop,3.9315881868680367,28,28,4,00s
510,found,wild,2019,pop,3.407068607332818,17,17,17,10s
511,jobless,wild,2017,pop,3.411509333279533,66,9,4,10s
512,bawdy,wild,2009,pop,3.3907134234725587,12,12,2,00s
513,grateful,wild,2017,pop,2.8944049447661038,8,2,1,10s
514,best,wild,2003,pop,3.497422196116209,56,7,1,00s
515,cover,taboo,2009,hip hop,3.456879573099923,45,15,15,00s
516,place,taboo,1999,hip hop,2.8996443281307136,24,1,0,90s
517,measure,taboo,2016,hip hop,4.025452212359859,5,5,1,10s
518,shiver,taboo,1990,hip hop,3.318339538922159,9,3,1,90s
519,damaging,taboo,1978,hip hop,3.5930061973782066,7,7,7,70s
520,foamy,sense,1986,rock,3.596260702470332,6,1,0,80s
521,rampant,able,1997,pop,3.033841017842124,4,4,4,90s
522,cut,able,2009,pop,3.910767171231792,13,4,0,00s
523,muddled,able,2022,pop,3.534471480669464,2,0,0,20s
524,sick,able,2001,pop,2.965794242191175,8,4,4,00s
525,shrill,able,2002,pop,3.944990711959634,33,11,3,00s
526,exultant,able,1978,pop,3.873919803768087,24,24,12,70s
527,ignorant,able,1989,pop,3.4102616214758434,6,1,0,80s
528,gaudy,able,2009,pop,2.9951506907820544,14,4,2,00s
529,jolly,able,2013,pop,3.4263888502931827,20,2,2,10s
530,open,able,2001,pop,3.678607800166664,16,16,8,00s
531,second,able,2002,pop,3.467763758075597,9,9,3,00s
532,exchange,able,1992,pop,3.588631680465004,8,8,2,90s
533,air,able,1974,pop,3.637267637258341,6,6,0,70s
534,spurious,able,2019,pop,3.5705547581069106,63,21,4,10s
535,fuel,able,2006,pop,2.9093408666683467,23,11,5,00s
536,sort,able,1986,pop,3.753365488189516,14,7,1,80s
537,kneel,able,2006,pop,4.003577398435337,53,53,26,00s
538,cloudy,able,2003,pop,3.771585810777888,7,3,3,00s
539,vast,railway,2016,pop,2.918901602319794,30,15,3,10s
540,gaze,railway,2012,pop,2.893689947857777,28,14,7,10s
541,dreary,railway,2004,pop,2.948736957360731,7,7,2,00s
542,quirky,railway,1991,pop,3.085409277436009,25,4,0,90s
543,twig,railway,2019,pop,3.5331675134834244,32,32,32,10s
544,train,bustling,2022,pop,2.8824893993950225,21,3,1,20s
545,last,suppose,1999,hip hop,3.855455066234148,34,4,4,90s
546,view,suppose,2020,hip hop,2.9195116745786813,10,3,3,20s
547,plug,suppose,2012,hip hop,3.3587495685526947,21,10,10,10s
548,piquant,slow,2015,hip hop,3.938410978069483,26,5,0,10s
549,corn,slow,1997,hip hop,3.2379263982492854,30,2,0,90s
550,youthful,slow,2009,hip hop,3.0416039677360662,8,4,2,00s
551,eggs,slow,1974,hip hop,3.4770894791262976,63,63,21,70s
552,quarrelsome,slow,2001,hip hop,3.489954630186174,9,4,2,00s
553,snails,edge,2017,pop,3.965977368889172,5,1,1,10s
554,mature,kindhearted,2016,pop,2.955219161283832,8,2,1,10s
555,flawless,kindhearted,2017,pop,3.0175880991070283,24,6,3,10s
556,aromatic,kindhearted,2010,pop,3.161807902148173,51,2,1,10s
557,manage,kindhearted,2007,pop,3.051899607215159,20,20,2,00s
558,snatch,kindhearted,2016,pop,3.77595428282594,195,65,32,10s
559,nappy,kindhearted,2002,pop,4.016292043107135,30,15,3,00s
560,geese,kindhearted,2022,pop,3.6406630544709015,129,43,43,20s
561,rabbits,kindhearted,2006,pop,3.548918847438311,14,14,7,00s
562,range,kindhearted,2010,pop,3.124824747462475,30,15,15,10s
563,long-term,kindhearted,2021,pop,3.45891871883308,13,4,1,20s
564,try,kindhearted,2013,pop,3.147741571696442,22,4,2,10s
565,stop,nice,1981,rock,3.3275109616221807,53,17,17,80s
566,maniacal,nice,2013,rock,3.904623510130774,16,16,8,10s
567,bedroom,nice,2003,rock,4.004578282191047,14,1,0,00s
568,reaction,nonstop,2008,pop,3.0320332725937877,18,18,6,00s
569,arrogant,frantic,2012,pop,3.3228394126775957,1,0,0,10s
570,disillusioned,maid,2015,rock,3.2121151101675687,5,2,1,10s
571,ragged,maid,2012,rock,3.019942931959088,20,10,10,10s
572,quiver,maid,1999,rock,3.604521232347071,31,15,5,90s
573,attack,maid,1995,rock,3.4941728157431218,11,11,5,90s
574,scream,maid,2006,rock,3.5444729654546,18,9,3,00s
575,rabid,maid,2009,rock,3.1983195393145243,44,44,22,00s
576,medical,maid,2018,rock,3.0772706196053514,48,3,0,10s
577,keen,maid,2015,rock,3.4818925331670947,20,6,3,10s
578,government,flowery,2015,pop,3.2655497049148,13,4,1,10s
579,festive,high,2002,pop,3.956638580301308,29,14,14,00s
580,elated,plucky,1979,pop,3.667039707959383,22,11,3,70s
581,valuable,plucky,2006,pop,3.7303994673914183,10,5,0,00s
582,large,plucky,2013,pop,3.900116170850202,16,8,1,10s
583,parallel,plucky,2015,pop,3.061148595799541,12,4,1,10s
584,faithful,plucky,1997,pop,3.0241967052582983,34,4,0,90s
585,route,plucky,2018,pop,3.892233767902033,14,0,0,10s
586,present,plucky,2010,pop,3.5975700975897045,17,5,1,10s
587,pipe,plucky,2015,pop,3.2830451767630646,8,8,2,10s
588,shiny,plucky,2019,pop,3.1933888462528137,28,9,3,10s
589,lighten,plucky,1994,pop,2.865643528698332,123,41,10,90s
590,pastoral,plucky,2007,pop,3.000406393563344,5,5,5,00s
591,messy,trick,2020,pop,4.004672414546513,12,2,1,20s
592,innocent,scold,2004,pop,3.69706471995761,19,19,6,00s
593,military,exclusive,2004,pop,2.8732445895678502,16,0,0,00s
594,bake,plant,2016,pop,3.61967300756961,28,5,5,10s
595,thick,marble,2004,pop,3.546109601529813,18,6,2,00s
596,outstanding,marble,2000,pop,3.718845951143064,19,9,1,00s
597,pedal,gainful,1991,hip hop,3.700260959761734,6,2,0,90s
598,cuddly,gainful,2005,hip hop,2.8907423685790743,4,0,0,00s
599,scatter,gainful,2007,hip hop,3.693767772110954,28,9,3,00s
600,inject,gullible,2007,hip hop,3.4842047077447726,16,2,1,00s
601,stick,crib,2003,pop,3.830831757903428,10,3,1,00s
602,travel,crib,1971,pop,3.695921303399425,59,59,8,70s
603,heartbreaking,crib,2008,pop,3.760396345337821,28,7,3,00s
604,owe,crib,2011,pop,3.405960979752748,54,9,9,10s
605,meal,crib,1980,pop,3.718645501794311,8,0,0,80s
606,fire,crib,2016,pop,3.178212647433746,10,1,0,10s
607,dead,crib,2006,pop,3.9313831306325353,18,9,3,00s
608,insect,crib,1988,pop,3.6207265819509873,32,32,4,80s
609,tent,flat,1989,hip hop,3.1745544985304077,23,5,1,80s
610,transport,branch,2005,pop,3.751965019530288,67,67,67,00s
611,frail,branch,2020,pop,3.149028755717912,10,10,5,20s
612,way,branch,2005,pop,3.1292220232055623,28,3,0,00s
613,metal,branch,2021,pop,3.4849788954219743,10,10,3,20s
614,hose,branch,2021,pop,3.42953236943934,36,18,18,20s
615,carriage,branch,2021,pop,3.725712931933991,33,16,2,20s
616,ray,branch,2014,pop,3.4157444538378243,14,2,0,10s
617,party,branch,1972,pop,3.124845724017492,31,15,15,70s
618,playground,branch,2009,pop,3.4324713321377,26,26,8,00s
619,juicy,branch,2012,pop,2.919149529920487,11,3,1,10s
620,numberless,branch,1980,pop,3.0493050251962983,19,9,3,80s
621,exchange,spotted,2018,pop,3.886169887326973,29,14,3,10s
622,confused,spotted,1984,pop,3.91205531446692,18,1,0,80s
623,wax,spotted,2001,pop,3.8010102426034265,27,13,13,00s
624,worried,spotted,1994,pop,3.510067999214725,9,4,2,90s
625,loaf,spotted,2018,pop,3.86610671668785,5,2,0,10s
626,cover,writer,1976,hip hop,3.989254952680925,17,8,8,70s
627,boundary,skin,2001,pop,2.9196624925131545,19,9,3,00s
628,general,tickle,2002,pop,3.490956857891357,10,3,1,00s
629,groovy,pet,2009,hip hop,3.8291630734910926,10,5,5,00s
630,wink,interfere,2012,hip hop,3.807783338035493,11,11,2,10s
631,disgusted,interfere,2014,hip hop,3.5044785588672065,154,154,51,10s
632,juvenile,horn,2016,hip hop,3.222257960171048,11,1,0,10s
633,known,horn,1974,hip hop,3.7751779980145415,9,9,9,70s
634,scare,horn,2010,hip hop,3.368618888799148,11,3,1,10s
635,rude,horn,1998,hip hop,3.0224082153004246,32,4,2,90s
636,venomous,horn,2019,hip hop,3.890714772097092,15,5,0,10s
637,son,horn,1990,hip hop,3.439940712587648,20,3,3,90s
638,taboo,horn,2013,hip hop,3.571338530366893,14,7,2,10s
639,shave,horn,1999,hip hop,3.8738870415365168,59,29,14,90s
640,balance,dusty,2005,folk,4.014581214491496,61,61,0,00s
641,ruin,ashamed,2007,hip hop,3.816233187933981,1,0,0,00s
642,annoyed,periodic,2012,pop,3.719965218780509,21,1,1,10s
643,quiet,willing,2007,folk,3.577692007427772,34,2,0,00s
644,low,combative,1997,rock,3.224385140606513,5,5,1,90s
645,gullible,possessive,2021,pop,3.340181208112243,19,1,0,20s
646,belligerent,possessive,2000,pop,3.4557640355945844,7,0,0,00s
647,mask,possessive,2012,pop,3.50499836775181,32,10,10,10s
648,fluffy,possessive,2009,pop,3.0944205842893826,27,1,0,00s
649,yummy,possessive,2018,pop,2.8522681882033747,19,9,9,10s
650,thing,possessive,2022,pop,3.8040928118108974,13,4,2,20s
651,stage,possessive,2008,pop,3.543627993311368,153,10,5,00s
652,fast,possessive,2011,pop,3.122360501993477,31,15,5,10s
653,handsomely,evasive,2015,rock,3.859827056125576,2,2,2,10s
654,pig,collar,2016,pop,3.1648077959627146,198,24,24,10s
655,car,collar,2006,pop,3.605592996711281,56,18,6,00s
656,fairies,collar,2005,pop,3.1846548457719903,28,2,0,00s
657,guttural,collar,2021,pop,4.046311480660899,31,31,0,20s
658,committee,collar,2015,pop,3.208549663248621,32,32,32,10s
659,unusual,collar,1996,pop,3.253860343106717,8,2,0,90s
660,part,collar,2011,pop,3.452018545858792,39,3,1,10s
661,jazzy,collar,2015,pop,2.968685826423589,28,14,14,10s
662,wrestle,collar,1980,pop,2.8797992771349,27,13,1,80s
663,panicky,collar,2003,pop,3.0353709733855374,14,14,14,00s
664,divergent,collar,1991,pop,3.8119443858812714,56,18,18,90s
665,absurd,frightening,2010,pop,3.5596986966267337,2,1,0,10s
666,rambunctious,frightening,1973,pop,3.948014923507967,1,0,0,70s
667,order,frightening,1976,pop,3.9526064429823,140,140,23,70s
668,yard,frightening,2014,pop,3.648903112948082,13,4,4,10s
669,ignorant,frightening,1993,pop,3.004985482175933,14,14,0,90s
670,dry,frightening,2001,pop,3.9685290341353943,15,15,2,00s
671,reduce,frightening,2020,pop,3.969028760392475,25,0,0,20s
672,protest,frightening,1992,pop,3.111573335660458,24,24,12,90s
673,tap,frightening,1978,pop,3.0632953894784265,15,5,5,70s
674,governor,frightening,2008,pop,3.4088290953032625,1,0,0,00s
675,pine,frightening,2004,pop,3.2543483587669395,10,3,0,00s
676,berserk,frightening,1978,pop,3.0860917210993493,6,3,0,70s
677,hover,frightening,1999,pop,3.4668101100265187,98,49,49,90s
678,fragile,frightening,2020,pop,3.380526512883764,23,7,7,20s
679,fuel,frightening,2017,pop,3.162303534234624,14,4,1,10s
680,guarded,frightening,2018,pop,3.892614643091665,23,7,2,10s
681,door,frightening,2017,pop,3.3255941196197214,30,10,0,10s
682,great,frightening,2013,pop,3.277557030878969,38,12,0,10s
683,weather,lacking,1992,pop,3.6078284570393206,30,15,5,90s
684,love,lacking,2015,pop,3.0385806897736574,26,5,1,10s
685,push,lacking,2019,pop,2.919927805807113,16,16,2,10s
686,view,lacking,1990,pop,3.617080430682391,26,8,4,90s
687,distance,lacking,1992,pop,3.38201017345678,11,5,5,90s
688,launch,lacking,2018,pop,3.094401405704659,21,21,21,10s
689,texture,lacking,2014,pop,2.897619340357659,7,1,0,10s
690,tacky,lacking,2018,pop,3.1189674719857146,32,10,3,10s
691,cheap,lacking,1972,pop,3.706058725303816,25,25,12,70s
692,faulty,lacking,2013,pop,3.896188061983018,30,15,15,10s
693,spoon,lacking,2004,pop,3.647192259669695,28,28,9,00s
694,hallowed,lacking,2017,pop,3.05767975280937,3,0,0,10s
695,encourage,lacking,2014,pop,3.617561221361183,8,2,1,10s
696,hook,lacking,1990,pop,3.9635018096844936,27,9,4,90s
697,grubby,lacking,2005,pop,3.513655597330219,6,3,3,00s
698,enchanting,lacking,2007,pop,2.901359055957711,5,1,0,00s
699,spell,lacking,1984,pop,3.1682864148766554,6,1,1,80s
700,brawny,lacking,1987,pop,3.8187270501360064,10,0,0,80s
701,dogs,protective,2003,pop,3.700140091443594,10,2,2,00s
702,burly,cactus,1997,pop,3.029373416495072,43,43,14,90s
703,bikes,cactus,1978,pop,3.855655605576784,25,8,4,70s
704,statuesque,cactus,2010,pop,3.8683426422443,11,2,2,10s
705,left,trap,2022,pop,3.335521842017249,14,4,2,20s
706,sparkle,tomatoes,2001,pop,2.969879066051727,20,2,0,00s
707,faithful,tomatoes,2022,pop,3.951346764010103,23,4,0,20s
708,gleaming,tomatoes,2020,pop,3.013785516320764,1,0,0,20s
709,dolls,tomatoes,2020,pop,3.4032828313127155,28,4,2,20s
710,fix,tomatoes,2011,pop,3.7084593120209233,85,14,7,10s
711,silk,apathetic,2022,folk,3.187634144634105,8,1,1,20s
712,concentrate,apathetic,2009,folk,3.349408144168458,55,4,0,00s
713,trousers,injure,2019,pop,3.686185936813368,21,7,7,10s
714,needless,two,1987,pop,3.5420431226562368,31,1,0,80s
715,table,nauseating,2001,pop,3.480399605707228,24,1,0,00s
716,crown,nauseating,2013,pop,3.152422178931147,47,11,5,10s
717,graceful,nauseating,1978,pop,2.9886448364854203,14,1,1,70s
718,draconian,nauseating,2013,pop,3.893785953038845,29,9,9,10s
719,fail,nauseating,2018,pop,3.8821130393182175,54,54,27,10s
720,diligent,succinct,2009,pop,3.8629113945388616,45,22,22,00s
721,spark,settle,2014,pop,3.358471478606193,8,0,0,10s
722,tank,settle,1977,pop,2.879936155780626,9,1,0,70s
723,ahead,settle,2003,pop,3.3649570175254584,23,7,2,00s
724,ski,divergent,1980,folk,2.98383189366839,45,45,45,80s
725,settle,divergent,1972,folk,3.756250173590452,28,0,0,70s
726,can,divergent,1992,folk,3.13528777434066,25,5,0,90s
727,salty,divergent,1991,folk,3.3827335898780024,8,0,0,90s
728,glamorous,divergent,2000,folk,4.025330458393981,161,14,2,00s
729,satisfying,divergent,2004,folk,3.716845722065032,24,4,1,00s
730,large,divergent,2010,folk,3.5585953058774065,32,10,10,10s
731,smash,divergent,1982,folk,3.2132769177527427,8,2,2,80s
732,planes,colorful,1992,pop,3.978103627993247,34,4,2,90s
733,ahead,license,2018,pop,3.283109024581538,5,1,0,10s
734,kettle,license,2020,pop,3.895990421866992,3,1,0,20s
735,fluffy,license,2007,pop,3.476249888323053,5,0,0,00s
736,shame,license,1981,pop,2.9638499224445733,22,22,22,80s
737,amused,license,2011,pop,2.91934639544544,13,13,13,10s
738,stomach,license,2015,pop,3.4853129490652024,68,68,34,10s
739,uttermost,license,2011,pop,3.987946126730782,12,4,2,10s
740,whirl,license,2000,pop,3.4692720153083734,16,16,8,00s
741,fireman,license,2016,pop,3.114320194387354,13,4,2,10s
742,borrow,license,2001,pop,3.453373911061424,16,8,8,00s
743,instruct,license,2020,pop,3.8522460437243566,34,34,17,20s
744,last,dead,2002,hip hop,3.633493995017301,11,1,1,00s
745,eggnog,dead,2005,hip hop,3.605706011916307,26,3,1,00s
746,unfasten,dead,2017,hip hop,3.349891414716294,20,6,3,10s
747,penitent,dead,2019,hip hop,2.879864106822632,18,1,0,10s
748,evanescent,dead,1989,hip hop,3.447269205405328,42,42,6,80s
749,breath,dead,2000,hip hop,3.4080082822768443,19,6,2,00s
750,wash,dead,2001,hip hop,3.947866957419451,4,0,0,00s
751,son,dead,2002,hip hop,3.869687119599629,3,3,1,00s
752,blue-eyed,dead,2007,hip hop,2.993586381736132,15,5,2,00s
753,thin,dead,2014,hip hop,3.0888711045448267,3,0,0,10s
754,left,dead,2004,hip hop,3.060299971906795,13,6,2,00s
755,smile,dead,1996,hip hop,3.98987829783508,34,17,17,90s
756,dynamic,dead,2004,hip hop,3.3899085391684904,119,59,29,00s
757,puffy,dead,1980,hip hop,3.810225958556499,12,6,2,80s
758,wicked,dead,2008,hip hop,3.00098963459336,7,2,1,00s
759,structure,dead,2009,hip hop,3.608336281385337,38,12,4,00s
760,meat,dead,2018,hip hop,3.107156702470379,33,16,5,10s
761,selfish,dead,2008,hip hop,4.048570800588433,18,18,18,00s
762,aggressive,dead,1996,hip hop,3.305114396029308,20,6,6,90s
763,flowery,dead,2005,hip hop,3.370172590835002,20,6,1,00s
764,remarkable,dead,2008,hip hop,3.8656422336915055,64,10,1,00s
765,moan,dead,2011,hip hop,3.8648232362874206,20,10,10,10s
766,classy,dead,2002,hip hop,3.98021997306119,14,2,2,00s
767,paddle,dead,2011,hip hop,3.217476737581673,41,2,0,10s
768,magic,dead,1980,hip hop,3.729174194035716,17,17,2,80s
769,low,dead,2001,hip hop,3.604165105173568,23,3,3,00s
770,pedal,dead,1997,hip hop,3.1373181421988545,7,2,0,90s
771,daughter,dead,2010,hip hop,3.976363583817801,19,6,3,10s
772,current,squirrel,2011,pop,3.2605002211941247,17,8,8,10s
773,country,squirrel,2008,pop,3.870767052624749,12,6,2,00s
774,anger,squirrel,2000,pop,3.0844685934062053,23,1,0,00s
775,squirrel,squirrel,1992,pop,3.6083022134160783,27,13,6,90s
776,faithful,squirrel,2014,pop,3.585288445157037,12,6,3,10s
777,physical,squirrel,2018,pop,3.353390594286689,62,8,2,10s
778,umbrella,squirrel,1984,pop,2.8695763881365237,16,8,8,80s
779,fantastic,squirrel,2010,pop,3.711389653706357,8,1,0,10s
780,thick,squirrel,2006,pop,3.5523003916556277,12,6,2,00s
781,sore,squirrel,1988,pop,3.195640127457525,1,1,0,80s
782,pancake,squirrel,1986,pop,4.028078588390095,62,20,6,80s
783,spy,squirrel,2001,pop,3.2023578386503355,9,9,0,00s
784,suspect,squirrel,2001,pop,4.046916402039868,40,2,1,00s
785,excellent,squirrel,2003,pop,3.954864356168523,11,5,5,00s
786,reproduce,squirrel,2018,pop,3.036747887905096,142,71,35,10s
787,vessel,squirrel,2007,pop,3.063703282801677,48,16,16,00s
788,cure,squirrel,2016,pop,3.1384854023499376,12,12,3,10s
789,play,squirrel,2014,pop,3.190121770292312,23,11,11,10s
790,narrow,drunk,2011,hip hop,3.483772404563528,18,6,6,10s
791,mammoth,accurate,2010,hip hop,3.427892015101804,23,7,1,10s
792,holistic,accurate,2016,hip hop,2.8807043396746925,19,1,0,10s
793,automatic,accurate,2015,hip hop,4.016306394673669,30,7,3,10s
794,acid,accurate,2020,hip hop,3.701047658066668,17,17,5,20s
795,snotty,accurate,1994,hip hop,2.941305958495499,26,26,8,90s
796,distance,accurate,2001,hip hop,2.903832982992598,129,129,43,00s
797,glistening,accurate,2017,hip hop,2.8925526154825807,37,18,0,10s
798,staking,accurate,2002,hip hop,3.537522822900765,51,51,17,00s
799,retire,accurate,2021,hip hop,3.742110876338741,8,1,0,20s
800,tight,accurate,1980,hip hop,3.723569218311914,16,5,0,80s
801,pan,accurate,2004,hip hop,3.0131325618314206,22,4,4,00s
802,preserve,impulse,2023,pop,3.1361632922209064,6,3,0,20s
803,material,command,2012,rock,3.1415324601613217,5,5,2,10s
804,quaint,command,1996,rock,3.798351115649591,24,12,12,90s
805,science,command,2003,rock,3.852819619473296,2,0,0,00s
806,gun,command,1986,rock,3.638410005808911,2,0,0,80s
807,bizarre,command,2005,rock,3.0922076463252206,15,7,7,00s
808,amuck,command,1979,rock,2.951642238017354,13,6,3,70s
809,stick,command,1986,rock,3.472710851074844,24,8,2,80s
810,snails,command,1990,rock,3.743883470278962,31,10,10,90s
811,coal,command,2012,rock,3.702821466057991,34,8,0,10s
812,zinc,command,2019,rock,3.2403182155701504,15,7,2,10s
813,frame,command,1993,rock,3.46224474346938,17,1,0,90s
814,smile,coach,2015,hip hop,3.7669329952352495,3,1,0,10s
815,gamy,inform,2014,pop,2.9560400066614734,21,7,3,10s
816,unlock,inform,1993,pop,3.811636924997301,11,1,1,90s
817,short,system,2001,pop,3.295399704693386,23,11,11,00s
818,alcoholic,arithmetic,2006,hip hop,3.680558702564968,29,9,3,00s
819,feigned,suspend,2016,folk,3.991060192750545,106,7,1,10s
820,ocean,dress,2014,pop,3.8883525301055446,35,11,11,10s
821,admit,dress,2004,pop,3.03619944240281,5,0,0,00s
822,apathetic,dress,2004,pop,2.99025401105278,20,2,0,00s
823,mountain,dress,2012,pop,3.674086111007015,27,13,6,10s
824,various,dress,1987,pop,3.853725946108263,66,66,22,80s
825,school,load,2019,pop,3.752283960376997,1,0,0,10s
826,porter,load,2018,pop,3.733937649609647,30,30,30,10s
827,scratch,load,2012,pop,3.478864487621188,33,11,5,10s
828,dreary,load,2007,pop,3.7614099046400353,40,13,6,00s
829,curvy,load,2006,pop,2.970914675871056,27,2,0,00s
830,divide,load,2012,pop,2.951895509797145,25,8,8,10s
831,pricey,load,2019,pop,2.939910169090998,29,29,29,10s
832,pedal,load,1993,pop,3.7383494781491065,50,7,2,90s
833,irritate,load,2003,pop,3.4457875048524214,20,2,2,00s
834,silly,load,2009,pop,3.3799991372363487,12,1,0,00s
835,embarrassed,load,2019,pop,3.631605123247192,1,0,0,10s
836,scold,load,2006,pop,2.9161333897078845,12,3,3,00s
837,curl,load,1974,pop,3.1519018183444687,13,6,0,70s
838,black,load,2014,pop,3.742621781383517,17,1,0,10s
839,direful,load,2016,pop,3.282533863108056,12,1,0,10s
840,clear,load,2007,pop,3.054769380856966,54,3,3,00s
841,sad,load,2014,pop,3.2381020696106697,29,3,3,10s
842,close,load,1997,pop,3.711211476671415,1,1,0,90s
